Provinces,Cases,Deaths,New Cases
Hà Nội,1.646.923,1.232,2
Hồ Chí Minh,629.018,19.985,3
Hải Phòng,537.527,138,5
Nghệ An,502.049,145,11
Bắc Giang,391.440,92,0
Vĩnh Phúc,375.686,19,0
Hải Dương,372.391,117,5
Quảng Ninh,356.404,150,7
Bắc Ninh,353.869,136,0
Thái Nguyên,347.519,112,1
Phú Thọ,331.520,97,4
Bình Dương,325.667,3.519,4
Nam Định,301.101,150,1
Thái Bình,296.789,23,0
Hưng Yên,244.028,5,2
Hoà Bình,239.941,102,1
Lào Cai,188.846,38,0
Thanh Hóa,178.595,109,2
Đắk Lắk,172.439,201,0
Lạng Sơn,160.752,85,0
Yên Bái,158.046,13,6
Sơn La,153.602,0,8
Cà Mau,147.734,357,2
Tuyên Quang,147.582,14,0
Tây Ninh,140.444,944,0
Bình Định,139.890,281,6
Quảng Bình,129.648,74,13
Hà Giang,122.610,80,0
Khánh Hòa,122.036,364,4
Bình Phước,120.003,224,1
Bà Rịa - Vũng Tàu,110.822,497,2
Đà Nẵng,108.712,338,0
Đồng Nai,107.518,1.903,0
Ninh Bình,104.800,93,0
Vĩnh Long,103.505,829,0
Bến Tre,99.799,490,0
Cao Bằng,99.051,59,3
Lâm Đồng,98.238,141,0
Hà Nam,91.467,65,3
Điện Biên,90.757,23,26
Quảng Trị,86.293,38,3
Bắc Kạn,77.048,19,2
Cần Thơ,76.925,958,0
Lai Châu,75.519,0,1
Trà Vinh,75.174,115,0
Đắk Nông,73.427,47,0
Gia Lai,70.961,116,0
Hà Tĩnh,55.279,50,0
Bình Thuận,54.300,482,0
Đồng Tháp,51.614,1.007,6
Quảng Ngãi,50.513,127,0
Long An,50.297,1.088,0
Quảng Nam,49.556,150,0
Thừa Thiên Huế,48.186,173,6
Bạc Liêu,46.949,470,0
Phú Yên,44.481,137,0
Kiên Giang,43.659,1.027,0
An Giang,43.297,1.325,0
Tiền Giang,39.902,1.29,0
Sóc Trăng,34.457,634,0
Kon Tum,26.342,1,0
Hậu Giang,17.900,231,0
Ninh Thuận,9.001,60,0
,,,
